gid,role,role_score,cluster_id,priority_score,evidence,in_senders,out_receivers,sum_in,sum_out,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,pass_through,depth,is_seed,is_cutoff,truncated_by_depth,upstream_couriers
100000001952325100,terminal,0.19194164469306785,47,0.07440374350125464,"вход 77,888, выход 0",1,0,77888.0,0.0,1,0,77888.0,0.0,2,0,0.0003019170730776952,0.0,1,False,False,False,0
100000008751429100,peripheral,0.2,33,0.09448834497692607,"3 отправителей, 1 получателей",3,1,386200.0,72600.0,3,1,386200.0,72600.0,6,2,0.0015043129924041134,0.1879854997410668,1,False,False,False,0
100000001960517100,terminal,0.492865768008083,30,0.18125447694447075,"вход 200,000, выход 0",1,0,200000.0,0.0,1,0,200000.0,0.0,1,0,0.00035922049322186785,0.0,1,False,False,False,0
100000008686234100,terminal,0.09802607259912763,52,0.04105664041948572,"вход 39,778, выход 0",1,0,39778.0,0.0,1,0,39778.0,0.0,1,0,0.0002930337323065542,0.0,1,False,False,False,0
100000004213658100,terminal,0.0624633431085044,47,0.02842919238555743,"вход 25,347, выход 0",1,0,25347.0,0.0,1,0,25347.0,0.0,1,0,0.00029088933261569206,0.0,1,False,False,False,0
100000001194266100,terminal,0.12321644200202075,4,0.05000111923611763,"вход 50,000, выход 0",1,0,50000.0,0.0,1,0,50000.0,0.0,1,0,0.00029558111590539824,0.0,1,False,False,False,0
100000002243354100,terminal,0.05145272185120382,47,0.02451959237061795,"вход 20,879, выход 0",1,0,20879.0,0.0,1,0,20879.0,0.0,1,0,0.0002899515517515244,0.0,1,False,False,False,0
100000006069103100,transit,0.10011450148152656,22,0.06002893725502145,"пропуск 1.18, связей 6",3,3,228818.0,270000.0,3,3,228818.0,270000.0,3,4,0.0011516310982681742,1.1799770997036947,1,False,False,False,0
100000002760175100,terminal,0.4618398679119742,34,0.1702379451208163,"вход 187,410, выход 0",1,0,187410.0,0.0,1,0,187410.0,0.0,1,0,0.00031399380182834,0.0,1,False,False,False,0
100000003567087100,terminal,0.15307178589911039,47,0.06060201542702894,"вход 62,115, выход 0",1,0,62115.0,0.0,1,0,62115.0,0.0,1,0,0.0002986065051344285,0.0,1,False,False,False,0
100000008229700100,peripheral,0.2,42,0.07663397382474195,"1 отправителей, 1 получателей",1,1,23500.0,7200.0,1,1,23500.0,7200.0,1,1,0.0002894692379814412,0.30638297872340425,1,False,False,False,0
