cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
36,4,0,518000.0,"100000002205022100,100000000629812100,100000003163886100,100000001380107100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
37,6,1,275885.0,"100000005895525100,100000002462183100,100000007175718100,100000005056870100,100000005807278100,100000005485830100","Кластер по составу ролей: terminal 83%, peripheral 17%; гипотеза — преобладает terminal"
38,5,1,2809200.0,"100000004135268100,100000002738256100,100000007507343100,100000008571433100,100000004979498100","Кластер по составу ролей: peripheral 40%, transit 40%, terminal 20%; гипотеза — преобладает peripheral"
39,2,1,30000.0,"100000003980083100,100000003200071100","Кластер по составу ролей: peripheral 50%, terminal 50%; гипотеза — преобладает peripheral"
40,4,2,1499679.0,"100000008730021100,100000008701944100,100000008418835100,100000004269433100","Кластер по составу ролей: peripheral 50%, terminal 50%; гипотеза — преобладает peripheral"
41,3,0,627870.0,"100000008628231100,100000004666651100,100000005664632100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
42,53,1,3021863.0,"100000002679516100,100000003265158100,100000004386258100,100000001899164100,100000007242833100,100000003917461100,100000004200745100,100000004591973100,100000007745062100,100000003781406100","Кластер по составу ролей: coordinator 57%, terminal 34%, peripheral 6%; гипотеза — преобладает coordinator"
43,18,0,3422800.0,"100000003701161100,100000002267998100,100000008137435100,100000003718221100,100000003104347100,100000001822623100,100000003824464100,100000008238989100,100000001063678100,100000005974542100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
44,17,1,21586840.0,"100000002224132100,100000004892144100,100000000594783100,100000000552584100,100000005820746100,100000004399686100,100000000896111100,100000005474472100,100000008383405100,100000008042075100","Кластер по составу ролей: terminal 53%, peripheral 47%; гипотеза — преобладает terminal"
45,2,0,584900.0,"100000008430691100,100000007330432100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
46,6,0,2534500.0,"100000004722765100,100000003747133100,100000005075949100,100000006527156100,100000002578653100,100000004272302100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
47,150,1,5518694.0,"100000002527114100,100000001697501100,100000003942602100,100000004739664100,100000001166289100,100000008737958100,100000001952325100,100000008737422100,100000004792397100,100000006030946100","Кластер по составу ролей: terminal 94%, peripheral 3%, distributor 1%; гипотеза — преобладает terminal"
48,13,0,6748650.0,"100000007442518100,100000008258083100,100000000673868100,100000001785161100,100000000821507100,100000002911170100,100000006567935100,100000001961048100,100000008376089100,100000002454724100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
49,5,0,1189154.0,"100000000291906100,100000004670388100,100000004722630100,100000000291908100,100000004691350100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
50,30,1,4579928.59,"100000002838861100,100000006972210100,100000003071930100,100000000190228100,100000002613929100,100000002812641100,100000001541418100,100000001074553100,100000008497298100,100000003034546100","Кластер по составу ролей: terminal 57%, coordinator 23%, peripheral 20%; гипотеза — преобладает terminal"
51,25,0,5089597.0,"100000005527892100,100000002459832100,100000002936322100,100000000724540100,100000008624978100,100000005241556100,100000004134060100,100000008343874100,100000008343415100,100000005878334100","Кластер по составу ролей: coordinator 40%, terminal 32%, peripheral 24%; гипотеза — преобладает coordinator"
52,265,1,29623696.59,"100000007594394100,100000000437046100,100000002398779100,100000006866783100,100000007055802100,100000008686313100,100000004299488100,100000003134934100,100000008566737100,100000005124479100","Кластер по составу ролей: coordinator 97%, distributor 2%, consolidator 2%; гипотеза — преобладает coordinator"
53,2,0,300000.0,"100000007898453100,100000008427027100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
54,41,0,5151924.19,"100000008512552100,100000008413748100,100000006225798100,100000002713074100,100000003964910100,100000008221543100,100000003178549100,100000002570206100,100000005530114100,100000008436257100","Кластер по составу ролей: coordinator 98%, distributor 2%; гипотеза — преобладает coordinator"
55,17,1,2977887.0,"100000004144536100,100000003275398100,100000003031890100,100000002886166100,100000003603979100,100000002257794100,100000003338583100,100000004007197100,100000002731501100,100000004160650100","Кластер по составу ролей: peripheral 53%, terminal 47%; гипотеза — преобладает peripheral"
56,50,3,4135421.0,"100000005074393100,100000004004621100,100000006424479100,100000005882013100,100000000733451100,100000000375150100,100000003270419100,100000001232297100,100000008205937100,100000000943371100","Кластер по составу ролей: coordinator 98%, distributor 2%; гипотеза — преобладает coordinator"
57,6,1,383300.0,"100000004094958100,100000005363908100,100000004331458100,100000005546031100,100000005547096100,100000008575624100","Кластер по составу ролей: peripheral 50%, transit 33%, terminal 17%; гипотеза — преобладает peripheral"
